"Country Name","Country Code","Region","Income_Group",
"Aruba","ABW","","Revenu élevé",
"","AFE","","Agrégats",
"Afghanistan","AFG","Asie du Sud","Faible revenu",
"","AFW","","Agrégats",
"Angola","AGO","Afrique subsaharienne (hors revenu élevé)","Revenu intermédiaire, tranche inférieure",
"Albanie","ALB","Europe et Asie centrale (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Andorre","AND","","Revenu élevé",
"Le monde arabe","ARB","","Agrégats",
"Émirats arabes unis","ARE","","Revenu élevé",
"Argentine","ARG","Amérique latine et Caraïbes (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Arménie","ARM","Europe et Asie centrale (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Samoa américaines","ASM","Asie de l’Est et Pacifique (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Antigua-et-Barbuda","ATG","","Revenu élevé",
"Australie","AUS","","Revenu élevé",
"Autriche","AUT","","Revenu élevé",
"Azerbaïdjan","AZE","Europe et Asie centrale (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Burundi","BDI","Afrique subsaharienne (hors revenu élevé)","Faible revenu",
"Belgique","BEL","","Revenu élevé",
"Bénin","BEN","Afrique subsaharienne (hors revenu élevé)","Revenu intermédiaire, tranche inférieure",
"Burkina Faso","BFA","Afrique subsaharienne (hors revenu élevé)","Faible revenu",
"Bangladesh","BGD","Asie du Sud","Revenu intermédiaire, tranche inférieure",
"Bulgarie","BGR","Europe et Asie centrale (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Bahreïn","BHR","","Revenu élevé",
"Bahamas","BHS","","Revenu élevé",
"Bosnie-Herzégovine","BIH","Europe et Asie centrale (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Bélarus","BLR","Europe et Asie centrale (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Belize","BLZ","Amérique latine et Caraïbes (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Bermudes","BMU","","Revenu élevé",
"Bolivie","BOL","Amérique latine et Caraïbes (hors revenu élevé)","Revenu intermédiaire, tranche inférieure",
"Brésil","BRA","Amérique latine et Caraïbes (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Barbade","BRB","","Revenu élevé",
"Brunéi Darussalam","BRN","","Revenu élevé",
"Bhoutan","BTN","Asie du Sud","Revenu intermédiaire, tranche inférieure",
"Botswana","BWA","Afrique subsaharienne (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"République centrafricaine","CAF","Afrique subsaharienne (hors revenu élevé)","Faible revenu",
"Canada","CAN","","Revenu élevé",
"Europe centrale et les pays baltes
","CEB","","Agrégats",
"Suisse","CHE","","Revenu élevé",
"Îles Anglo-Normandes","CHI","","Revenu élevé",
"Chili","CHL","","Revenu élevé",
"Chine","CHN","Asie de l’Est et Pacifique (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Côte d'Ivoire","CIV","Afrique subsaharienne (hors revenu élevé)","Revenu intermédiaire, tranche inférieure",
"Cameroun","CMR","Afrique subsaharienne (hors revenu élevé)","Revenu intermédiaire, tranche inférieure",
"Congo, République démocratique du","COD","Afrique subsaharienne (hors revenu élevé)","Faible revenu",
"Congo, République du","COG","Afrique subsaharienne (hors revenu élevé)","Revenu intermédiaire, tranche inférieure",
"Colombie","COL","Amérique latine et Caraïbes (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Comores","COM","Afrique subsaharienne (hors revenu élevé)","Revenu intermédiaire, tranche inférieure",
"Cabo Verde ","CPV","Afrique subsaharienne (hors revenu élevé)","Revenu intermédiaire, tranche inférieure",
"Costa Rica","CRI","Amérique latine et Caraïbes (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Petits états des Caraïbes","CSS","","Agrégats",
"Cuba","CUB","Amérique latine et Caraïbes (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Curacao","CUW","","Revenu élevé",
"Îles Caïmans","CYM","","Revenu élevé",
"Chypre","CYP","","Revenu élevé",
"République tchèque","CZE","","Revenu élevé",
"Allemagne","DEU","","Revenu élevé",
"Djibouti","DJI","Afrique du Nord et Moyen-Orient (hors revenu élevé)","Revenu intermédiaire, tranche inférieure",
"Dominique","DMA","Amérique latine et Caraïbes (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Danemark","DNK","","Revenu élevé",
"République dominicaine","DOM","Amérique latine et Caraïbes (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Algérie","DZA","Afrique du Nord et Moyen-Orient (hors revenu élevé)","Revenu intermédiaire, tranche inférieure",
"Asie de l’Est et Pacifique (hors revenu élevé)","EAP","","Agrégats",
"de dividende précoce démographique","EAR","","Agrégats",
"Asie de l’Est et Pacifique","EAS","","Agrégats",
"Europe et Asie centrale (hors revenu élevé)","ECA","","Agrégats",
"Europe et Asie centrale","ECS","","Agrégats",
"Équateur","ECU","Amérique latine et Caraïbes (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Égypte, République arabe d’","EGY","Afrique du Nord et Moyen-Orient (hors revenu élevé)","Revenu intermédiaire, tranche inférieure",
"Zone euro","EMU","","Agrégats",
"Érythrée","ERI","Afrique subsaharienne (hors revenu élevé)","Faible revenu",
"Espagne","ESP","","Revenu élevé",
"Estonie","EST","","Revenu élevé",
"Éthiopie","ETH","Afrique subsaharienne (hors revenu élevé)","Faible revenu",
"Union européenne","EUU","","Agrégats",
"Fragile et les situations de conflit touchées
","FCS","","Agrégats",
"Finlande","FIN","","Revenu élevé",
"Fidji","FJI","Asie de l’Est et Pacifique (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"France","FRA","","Revenu élevé",
"Îles Féroé","FRO","","Revenu élevé",
"Micronésie, États fédérés de","FSM","Asie de l’Est et Pacifique (hors revenu élevé)","Revenu intermédiaire, tranche inférieure",
"Gabon","GAB","Afrique subsaharienne (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Royaume-Uni","GBR","","Revenu élevé",
"Géorgie","GEO","Europe et Asie centrale (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Ghana","GHA","Afrique subsaharienne (hors revenu élevé)","Revenu intermédiaire, tranche inférieure",
"Gibraltar","GIB","","Revenu élevé",
"Guinée","GIN","Afrique subsaharienne (hors revenu élevé)","Faible revenu",
"Gambie","GMB","Afrique subsaharienne (hors revenu élevé)","Faible revenu",
"Guinée-Bissau","GNB","Afrique subsaharienne (hors revenu élevé)","Faible revenu",
"Guinée équatoriale","GNQ","Afrique subsaharienne (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Grèce","GRC","","Revenu élevé",
"Grenade","GRD","Amérique latine et Caraïbes (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Groenland","GRL","","Revenu élevé",
"Guatemala","GTM","Amérique latine et Caraïbes (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Guam","GUM","","Revenu élevé",
"Guyana","GUY","Amérique latine et Caraïbes (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Revenu élevé","HIC","","Agrégats",
"Chine, RAS de Hong Kong","HKG","","Revenu élevé",
"Honduras","HND","Amérique latine et Caraïbes (hors revenu élevé)","Revenu intermédiaire, tranche inférieure",
"Pays pauvres très endettés (PPTE)","HPC","","Agrégats",
"Croatie","HRV","","Revenu élevé",
"Haïti","HTI","Amérique latine et Caraïbes (hors revenu élevé)","Revenu intermédiaire, tranche inférieure",
"Hongrie","HUN","","Revenu élevé",
"BIRD seulement","IBD","","Agrégats",
"BIRD et IDA","IBT","","Agrégats",
"IDA totale","IDA","","Agrégats",
"IDA mélange","IDB","","Agrégats",
"Indonésie","IDN","Asie de l’Est et Pacifique (hors revenu élevé)","Revenu intermédiaire, tranche inférieure",
"IDA seulement","IDX","","Agrégats",
"Île de Man","IMN","","Revenu élevé",
"Inde","IND","Asie du Sud","Revenu intermédiaire, tranche inférieure",
"Non classifié","INX","","Agrégats",
"Irlande","IRL","","Revenu élevé",
"Iran, République islamique d’","IRN","Afrique du Nord et Moyen-Orient (hors revenu élevé)","Revenu intermédiaire, tranche inférieure",
"Iraq","IRQ","Afrique du Nord et Moyen-Orient (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
"Islande","ISL","","Revenu élevé",
"Israël","ISR","","Revenu élevé",
"Italie","ITA","","Revenu élevé",
"Jamaïque","JAM","Amérique latine et Caraïbes (hors revenu élevé)","Revenu intermédiaire, tranche supérieure",
